,Campaign_ID,Campaign_Type,Target_Audience,Duration,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date,ROI_Flag
21,TI-CMP-1021,Paid Ads,Premium Shoppers,9.0,"WhatsApp, Instagram",30689.0,2535.0,1175.0,588.0,316344.0,148.6,2.62,Bengali,14.01,Youth,2025-04-19,Profit
22,TI-CMP-1022,Influencer,College Students,26.0,"Email, Google",21912.0,2823.0,1320.0,746.0,317050.0,194.36,1.19,English,22.31,Youth,2025-01-16,Profit
23,TI-CMP-1023,Influencer,Youth,17.522264750789567,"YouTube, Google",68428.0,8823.0,3113.0,1773.0,1223370.0,87.09,6.92,Hindi,20.03,Tier 2 City Customers,2024-08-13,Profit
24,TI-CMP-1024,Social Media,Premium Shoppers,27.0,"Google, Facebook, Instagram",71309.0,7394.0,2522.0,1904.0,1222368.0,64.24,8.335,Hindi,16.58,Youth,2025-05-08,Profit
25,TI-CMP-1025,Influencer,Working Women,28.0,"Email, YouTube, Instagram",49975.0,2211.0,718.0,360.0,159840.0,459.28,-0.03,English,6.58,Premium Shoppers,2025-04-06,Loss
26,TI-CMP-1026,Influencer,Youth,26.0,"WhatsApp, Facebook, Instagram",90287.0,2388.0,908.0,491.0,259248.0,452.78,0.17,Tamil,4.19,Tier 2 City Customers,2024-08-12,Profit
27,TI-CMP-1027,Email,Premium Shoppers,23.0,"Instagram, WhatsApp, Google",63553.0,9245.0,4923.0,2742.5,846372.0,55.69,4.54,English,27.03,Working Women,2025-01-10,Profit
28,TI-CMP-1028,Email,Tier 2 City Customers,28.0,Email,81432.0,3495.0,974.0,765.0,453645.0,147.35,3.02,Bengali,6.43,Tier 2 City Customers,2025-01-10,Profit
29,TI-CMP-1029,Paid Ads,Youth,21.0,WhatsApp,61136.0,8796.0,4531.0,2742.5,1361049.625,26.0,8.335,Hindi,27.14,Youth,2025-01-10,Profit
30,TI-CMP-1030,Paid Ads,Premium Shoppers,24.0,"Google, Facebook",20633.0,2101.0,815.0,334.0,119906.0,850.34375,-0.58,English,13.760886492146597,Premium Shoppers,2024-12-11,Loss
31,TI-CMP-1031,SEO,Premium Shoppers,17.522264750789567,Instagram,82330.0,6335.0,2053.0,987.0,711627.0,293.28,1.46,Tamil,11.39,Youth,2025-01-01,Profit
32,TI-CMP-1032,SEO,College Students,19.0,"Instagram, WhatsApp, YouTube",31068.0,2008.0,457.0,229.0,89081.0,850.34375,-0.54,Tamil,8.67,Premium Shoppers,2025-01-01,Loss
33,TI-CMP-1033,SEO,Working Women,12.0,"Google, WhatsApp, Instagram",55016.23549001948,1366.0,304.0,777.0,36750.0,850.34375,-0.94,English,3.29,Youth,2025-06-07,Loss
34,TI-CMP-1034,Influencer,Tier 2 City Customers,21.0,Instagram,50190.0,4633.0,1558.0,864.0,465696.0,73.82,6.3,Tamil,14.06,Youth,2025-06-07,Profit
35,TI-CMP-1035,Email,Premium Shoppers,8.0,"YouTube, Google",86750.0,3826.0,1816.0,736.0,184736.0,88.08,1.85,Tamil,7.35,College Students,2025-01-08,Profit
36,TI-CMP-1036,Paid Ads,College Students,16.0,"WhatsApp, Email",40622.0,5768.0,3170.0,1371.0,847278.0,142.23,3.35,English,25.38,Youth,2024-10-18,Profit
37,TI-CMP-1037,Paid Ads,Premium Shoppers,10.0,"WhatsApp, Instagram",57483.0,1639.0,786.0,245.0,116620.0,590.48,-0.19,Hindi,4.64,Working Women,2025-04-10,Loss
38,TI-CMP-1038,Paid Ads,College Students,17.522264750789567,Facebook,66638.0,6271.0,2095.0,1254.0,850212.0,168.92,3.01,Tamil,14.44,Working Women,2025-02-19,Profit
39,TI-CMP-1039,SEO,Premium Shoppers,9.0,"Google, WhatsApp",17150.0,2531.0,1310.0,929.0,473790.0,166.07,2.07,Tamil,27.81,Youth,2025-02-23,Profit
40,TI-CMP-1040,Email,Tier 2 City Customers,19.0,"Email, Facebook",50877.0,2924.0,1385.0,971.0,737960.0,239.24,2.18,Tamil,10.38,College Students,2024-08-19,Profit
41,TI-CMP-1041,Social Media,Tier 2 City Customers,5.0,"YouTube, Instagram, WhatsApp",66343.0,2146.0,1235.0,414.0,330372.0,637.21,0.25,English,5.72,Working Women,2024-11-25,Profit
42,TI-CMP-1042,Social Media,College Students,16.0,"YouTube, WhatsApp, Email",88148.0,3919.0,666.0,342.0,122094.0,442.9,-0.19,Bengali,4.8,Premium Shoppers,2025-01-30,Loss
43,TI-CMP-1043,Paid Ads,Working Women,17.0,Google,89077.0,4674.0,1689.0,1062.0,328158.0,116.34,1.66,Hindi,8.34,Tier 2 City Customers,2024-08-14,Profit
44,TI-CMP-1044,Social Media,College Students,8.0,"Email, Instagram",64189.0,4130.0,2344.0,1735.0,1028855.0,147.93,3.01,English,12.79,College Students,2024-12-11,Profit
45,TI-CMP-1045,SEO,Tier 2 City Customers,9.0,Instagram,67904.0,5286.0,2953.0,2085.0,1361049.625,68.93,8.335,Hindi,15.2,College Students,2025-01-29,Profit
46,TI-CMP-1046,Influencer,Tier 2 City Customers,29.0,"YouTube, WhatsApp, Instagram",26025.0,807.0,225.0,131.0,79910.0,564.83,0.08,English,4.47,Tier 2 City Customers,2025-02-08,Profit
47,TI-CMP-1047,Paid Ads,College Students,17.522264750789567,"Instagram, WhatsApp, YouTube",99437.0,6503.0,1367.0,736.0,247296.0,107.88,2.11,English,8.65,College Students,2025-04-16,Profit
48,TI-CMP-1048,Influencer,Youth,21.0,"Google, WhatsApp",78491.0,8395.0,3919.0,1426.0,460598.0,69.59,3.64,Tamil,17.51,Tier 2 City Customers,2025-04-18,Profit
49,TI-CMP-1049,Influencer,College Students,24.0,"Instagram, Email, YouTube",48940.0,5913.0,1620.0,1028.0,577736.0,113.14,3.97,English,17.49,Youth,2025-04-02,Profit
50,TI-CMP-1050,Influencer,Youth,7.0,"Email, YouTube",75582.0,8177.0,3461.0,1690.0,932880.0,72.66,6.6,English,17.63,Working Women,2024-08-20,Profit
52,TI-CMP-1052,SEO,Youth,22.0,"Email, Instagram, YouTube",67318.0,7241.0,1477.0,1360.0,814640.0,56.84,8.335,English,19.15,Youth,2024-12-25,Profit
53,TI-CMP-1053,Email,Premium Shoppers,8.0,"Facebook, YouTube",83157.0,10447.0,5101.5,2039.0,962408.0,124.78,2.78,English,22.17,Youth,2024-12-17,Profit
54,TI-CMP-1054,SEO,College Students,17.522264750789567,"Email, Instagram, YouTube",29555.0,2039.0,576.0,333.0,243090.0,789.84,-0.08,Hindi,9.97,College Students,2024-12-07,Loss
55,TI-CMP-1055,Paid Ads,Youth,12.0,"Google, Email",99295.0,11379.0,5101.5,2742.5,1361049.625,48.39,8.335,English,21.33,College Students,2025-04-30,Profit
56,TI-CMP-1056,Paid Ads,Working Women,20.0,Email,74948.0,7287.0,2249.0,1085.0,616280.0,148.59,2.82,English,14.17,Working Women,2024-12-25,Profit
57,TI-CMP-1057,Influencer,Premium Shoppers,19.0,"Email, YouTube, Google",50587.0,2361.0,729.0,268.0,209040.0,848.16,-0.08,Hindi,6.64,College Students,2025-04-12,Loss
58,TI-CMP-1058,Paid Ads,Tier 2 City Customers,5.0,Facebook,77146.0,4869.0,2559.0,1648.0,787744.0,169.85,1.81,Bengali,11.76,College Students,2024-12-16,Profit
59,TI-CMP-1059,SEO,Premium Shoppers,28.0,"Instagram, Email, YouTube",70110.0,3919.0,1042.0,664.0,249664.0,359.76,0.05,Hindi,9.45,Tier 2 City Customers,2025-05-19,Profit
60,TI-CMP-1060,Email,Youth,10.0,Instagram,52150.0,3546.0,1911.0,1231.0,851852.0,217.62,2.18,Hindi,12.82,Tier 2 City Customers,2024-11-16,Profit
61,TI-CMP-1061,Email,Youth,17.522264750789567,"Google, YouTube",71997.0,6092.0,2424.0,839.0,454738.0,309.62,0.75,Bengali,12.99,Working Women,2025-02-10,Profit
62,TI-CMP-1062,Email,Tier 2 City Customers,16.0,"YouTube, Instagram",85729.0,6909.0,3587.0,2605.0,1052420.0,84.18,3.8,English,15.28,Working Women,2025-01-24,Profit
63,TI-CMP-1063,Email,Working Women,22.0,"Email, Instagram",76954.0,7208.0,1586.0,592.0,288304.0,167.77,1.9,Bengali,12.2,Working Women,2025-02-10,Profit
65,TI-CMP-1065,Email,Premium Shoppers,18.0,"Instagram, YouTube, Email",19448.0,1225.0,251.0,156.0,54912.0,208.7,0.69,English,8.39,Tier 2 City Customers,2025-01-05,Profit
66,TI-CMP-1066,Influencer,Premium Shoppers,21.0,"Google, Email",84830.0,7552.0,3772.0,2637.0,1361049.625,61.15,7.44,Hindi,16.46,Tier 2 City Customers,2025-03-09,Profit
67,TI-CMP-1067,Social Media,Youth,5.0,"Facebook, Instagram",55807.0,5391.0,3095.0,1351.0,920031.0,171.49,2.97,Hindi,17.63,Youth,2025-03-26,Profit
68,TI-CMP-1068,Paid Ads,Tier 2 City Customers,11.0,Instagram,68356.0,4330.0,2196.0,1610.0,883890.0,139.49,2.94,Bengali,11.9,Premium Shoppers,2025-03-26,Profit
69,TI-CMP-1069,Influencer,Working Women,8.0,"Instagram, WhatsApp",47180.0,2866.0,1704.0,1054.0,339388.0,48.35,5.66,Tamil,11.92,College Students,2024-11-07,Profit
70,TI-CMP-1070,SEO,Premium Shoppers,20.0,"YouTube, Google, Email",13123.0,738.0,151.0,107.0,69443.0,850.34375,-0.24,Bengali,7.59,Youth,2024-10-03,Loss
71,TI-CMP-1071,Email,Premium Shoppers,5.0,"Instagram, YouTube, Facebook",30917.0,3554.0,1793.0,1247.0,825514.0,200.01,2.31,Hindi,21.33,Working Women,2025-02-20,Profit
72,TI-CMP-1072,Paid Ads,Working Women,16.0,"Facebook, YouTube",69961.0,6432.0,3289.0,1495.0,373750.0,98.59,1.54,English,16.03,College Students,2024-11-27,Profit
73,TI-CMP-1073,Social Media,Youth,19.0,WhatsApp,46890.0,2527.0,698.0,226.0,84750.0,850.34375,-0.56,Bengali,7.36,Tier 2 City Customers,2024-11-06,Loss
74,TI-CMP-1074,Email,Tier 2 City Customers,30.0,Facebook,55016.23549001948,6242.0,2023.0,1412.0,731416.0,153.96,2.36,Tamil,12.45,Premium Shoppers,2025-04-14,Profit
75,TI-CMP-1075,Paid Ads,Premium Shoppers,20.0,YouTube,55016.23549001948,1330.0,540.0,370.0,88430.0,521.86,-0.54,Hindi,17.13,Working Women,2024-10-17,Loss
76,TI-CMP-1076,Influencer,Tier 2 City Customers,30.0,"Google, Facebook, WhatsApp",27384.0,2216.0,581.0,264.0,76032.0,850.34375,-0.66,Hindi,11.18,Working Women,2024-08-08,Loss
78,TI-CMP-1078,Email,College Students,7.0,"Instagram, Google, Email",16594.0,1897.0,583.0,276.0,98532.0,673.99,-0.47,Hindi,16.61,Premium Shoppers,2024-07-07,Loss
79,TI-CMP-1079,Email,Tier 2 City Customers,8.0,Facebook,57801.0,2583.0,1172.0,835.0,361555.0,266.22,0.63,English,7.94,Youth,2024-09-07,Profit
80,TI-CMP-1080,Social Media,Working Women,17.522264750789567,"WhatsApp, YouTube",37319.0,968.0,394.0,227.0,88076.0,830.27,-0.53,Hindi,4.26,Youth,2024-10-31,Loss
81,TI-CMP-1081,Email,College Students,15.0,YouTube,29054.0,2647.0,1109.0,694.0,494822.0,187.1,2.81,Bengali,15.32,College Students,2024-09-26,Profit
82,TI-CMP-1082,Social Media,Youth,29.0,YouTube,18694.0,406.0,188.0,126.0,91602.0,208.7,2.48,Tamil,3.85,Premium Shoppers,2024-10-05,Profit
83,TI-CMP-1083,SEO,Working Women,25.0,"Email, YouTube",25453.0,3175.0,1112.0,887.0,447935.0,208.7,1.42,Bengali,13.760886492146597,Youth,2025-05-26,Profit
85,TI-CMP-1085,Email,Tier 2 City Customers,26.0,YouTube,63997.0,4074.0,920.0,504.0,240408.0,505.49,-0.06,Hindi,8.59,Youth,2025-01-06,Loss
86,TI-CMP-1086,SEO,Tier 2 City Customers,28.0,Email,86361.0,4754.0,2194.0,1331.0,452540.0,189.07,0.8,Hindi,9.59,College Students,2024-10-29,Profit
87,TI-CMP-1087,Social Media,Youth,30.0,Google,59958.0,7454.0,1750.0,1175.0,629800.0,202.79,1.64,Hindi,17.31,Tier 2 City Customers,2024-09-17,Profit
88,TI-CMP-1088,Paid Ads,College Students,22.0,Instagram,55658.0,8247.0,1919.0,1286.0,326644.0,174.53,0.46,Tamil,20.58,Premium Shoppers,2024-12-09,Profit
89,TI-CMP-1089,Paid Ads,Working Women,26.0,"Facebook, Google",33796.0,5024.0,2476.0,1124.0,866604.0,99.33,6.76,Hindi,25.52,Working Women,2025-01-22,Profit
90,TI-CMP-1090,Influencer,Working Women,20.0,"Google, WhatsApp, Instagram",14253.0,1970.0,611.0,290.0,156310.0,850.34375,-0.37,Tamil,20.14,College Students,2024-07-15,Loss
91,TI-CMP-1091,Social Media,Premium Shoppers,19.0,"Instagram, Google",49174.0,6208.0,3261.0,2013.0,1264164.0,135.68,3.63,Bengali,23.35,Youth,2024-07-09,Profit
92,TI-CMP-1092,Paid Ads,College Students,23.0,"Email, Google, Facebook",19474.0,614.0,312.0,238.0,127568.0,796.61,-0.33,Hindi,5.98,College Students,2025-04-09,Loss
94,TI-CMP-1094,Social Media,Premium Shoppers,24.0,"WhatsApp, YouTube",69090.0,7449.0,1740.0,909.0,404505.0,190.71,1.33,Hindi,14.62,Premium Shoppers,2025-05-07,Profit
95,TI-CMP-1095,Influencer,Premium Shoppers,10.0,"Email, Google",63267.0,6093.0,2473.0,1863.0,1142019.0,53.1,8.335,Bengali,16.48,Working Women,2024-10-13,Profit
96,TI-CMP-1096,Social Media,College Students,10.0,"WhatsApp, Email",28653.0,2186.0,481.0,290.0,153700.0,816.49,-0.35,Tamil,10.32,Premium Shoppers,2025-04-06,Loss
97,TI-CMP-1097,Social Media,Youth,5.0,"Facebook, Instagram",95071.0,6448.0,1969.0,1369.0,711880.0,90.67,4.74,Hindi,10.29,Working Women,2024-12-20,Profit
98,TI-CMP-1098,SEO,College Students,9.0,"Google, Instagram",91224.0,9066.0,4114.0,2742.5,1361049.625,23.75,8.335,English,17.92,Working Women,2025-05-05,Profit
99,TI-CMP-1099,SEO,Working Women,8.0,Google,71964.0,4708.0,2181.0,1490.0,689870.0,139.63,2.32,English,11.64,Tier 2 City Customers,2024-07-17,Profit
100,TI-CMP-1100,SEO,Youth,7.0,"WhatsApp, YouTube",29518.0,3451.0,1456.0,811.0,391713.0,215.06,1.25,Hindi,19.37,Premium Shoppers,2025-06-11,Profit
101,TI-CMP-1101,SEO,Premium Shoppers,13.0,"Instagram, WhatsApp",96007.0,2513.0,1101.0,811.0,594463.0,108.11,5.78,Tamil,4.61,Working Women,2025-02-13,Profit
102,TI-CMP-1102,Paid Ads,Youth,15.0,"WhatsApp, Instagram",30824.0,3919.0,1643.0,792.0,262944.0,180.58,0.84,Bengali,22.44,College Students,2024-11-02,Profit
104,TI-CMP-1104,SEO,Premium Shoppers,23.0,Email,34525.0,1804.0,710.0,222.0,148962.0,695.74,-0.04,Tamil,7.92,Youth,2025-03-23,Loss
105,TI-CMP-1105,SEO,Premium Shoppers,12.0,YouTube,12913.0,287.0,131.0,77.0,24486.0,850.34375,-0.63,Hindi,3.83,Working Women,2024-07-23,Loss
106,TI-CMP-1106,Paid Ads,Tier 2 City Customers,8.0,Google,56128.0,5600.0,2094.0,1354.0,384536.0,205.69,0.38,Tamil,16.12,Working Women,2024-07-29,Profit
107,TI-CMP-1107,Paid Ads,Tier 2 City Customers,5.0,"Google, Facebook, WhatsApp",93133.0,2804.0,902.0,544.0,359270.0,212.32,2.11,English,4.56,College Students,2024-09-03,Profit
108,TI-CMP-1108,SEO,Premium Shoppers,11.0,"Google, Email, YouTube",12090.0,1314.0,499.0,251.0,74045.0,546.96,-0.46,Tamil,17.07,College Students,2024-08-31,Loss
109,TI-CMP-1109,SEO,Youth,5.0,"YouTube, Google",38672.0,2654.0,794.0,388.0,239008.0,587.97,0.05,Tamil,9.92,Youth,2025-06-22,Profit
110,TI-CMP-1110,SEO,College Students,19.0,YouTube,20471.0,1696.0,495.0,206.0,146878.0,850.34375,-0.16,Bengali,11.71,Premium Shoppers,2025-06-06,Loss
111,TI-CMP-1111,SEO,Premium Shoppers,16.0,"YouTube, Instagram, Email",50264.0,5003.0,1115.0,584.0,237104.0,139.19,1.92,English,13.33,College Students,2025-01-17,Profit
112,TI-CMP-1112,Email,Working Women,16.0,WhatsApp,59293.0,6854.0,1530.0,961.0,341155.0,55.6,5.38,Hindi,15.76,Working Women,2025-04-05,Profit
113,TI-CMP-1113,Email,College Students,15.0,"Google, YouTube, WhatsApp",28605.0,3800.0,1847.0,1313.0,869206.0,162.56,3.07,Hindi,24.33,Tier 2 City Customers,2024-12-27,Profit
114,TI-CMP-1114,Influencer,Premium Shoppers,17.0,WhatsApp,74999.0,11155.0,3593.0,2436.0,613872.0,29.02,7.68,Bengali,22.91,Youth,2025-02-03,Profit
115,TI-CMP-1115,Influencer,Working Women,22.0,"Facebook, WhatsApp",71083.0,9615.0,4374.0,2742.5,1014552.0,64.73,4.72,English,24.31,Premium Shoppers,2024-10-21,Profit
116,TI-CMP-1116,Influencer,Youth,26.0,"Instagram, Google, Email",65721.0,8154.0,2631.0,954.0,371106.0,129.23,2.01,Bengali,17.86,College Students,2024-08-24,Profit
117,TI-CMP-1117,SEO,College Students,20.0,"WhatsApp, Instagram, Google",62766.0,5587.0,1477.0,919.0,364843.0,306.5,0.3,Tamil,12.24,Tier 2 City Customers,2024-10-24,Profit
118,TI-CMP-1118,Social Media,Youth,6.0,"Instagram, YouTube",34827.0,5132.0,1175.0,893.0,686717.0,166.83,3.61,Hindi,20.67,Premium Shoppers,2025-02-25,Profit
119,TI-CMP-1119,SEO,Working Women,8.0,Facebook,59463.0,1366.0,782.0,471.0,289194.0,243.84,1.52,Hindi,4.4,Premium Shoppers,2024-09-19,Profit
120,TI-CMP-1120,Email,Youth,17.522264750789567,"Email, YouTube",86333.0,1855.0,951.0,458.0,349912.0,366.53,1.08,Bengali,3.78,Tier 2 City Customers,2025-05-25,Profit
121,TI-CMP-1121,Paid Ads,Tier 2 City Customers,26.0,"WhatsApp, Email, YouTube",89063.0,4994.0,1520.0,1159.0,508801.0,166.51,1.64,Tamil,13.760886492146597,Tier 2 City Customers,2024-12-30,Profit
122,TI-CMP-1122,Influencer,Premium Shoppers,29.0,Google,87121.0,10389.0,2970.0,1525.0,846375.0,163.01,2.4,Bengali,17.08,College Students,2025-05-17,Profit
125,TI-CMP-1125,Paid Ads,Premium Shoppers,17.0,Instagram,58258.0,4075.0,2352.0,1139.0,759713.0,67.38,8.335,Tamil,12.99,Tier 2 City Customers,2024-09-15,Profit
126,TI-CMP-1126,Social Media,College Students,16.0,Facebook,98584.0,3919.0,2819.0,777.0,714977.0,180.33,4.1,Hindi,14.88,Tier 2 City Customers,2024-11-13,Profit
127,TI-CMP-1127,Social Media,Tier 2 City Customers,30.0,"Email, YouTube",48852.0,6103.0,2064.0,855.0,313785.0,239.67,0.53,English,13.760886492146597,College Students,2025-05-26,Profit
128,TI-CMP-1128,Email,Youth,16.0,"Google, WhatsApp, Facebook",20694.0,769.0,348.0,109.0,82731.0,850.34375,-0.11,Bengali,5.92,Premium Shoppers,2025-01-17,Loss
129,TI-CMP-1129,Influencer,Working Women,17.522264750789567,Google,50673.0,2942.0,617.0,337.0,72792.0,208.7,0.03,Hindi,7.69,College Students,2025-06-16,Profit
130,TI-CMP-1130,Influencer,College Students,11.0,"Email, Facebook",28958.0,3849.0,1113.0,630.0,351540.0,424.9,0.31,Bengali,19.31,Working Women,2025-05-26,Profit
131,TI-CMP-1131,Social Media,Premium Shoppers,17.0,"Instagram, YouTube",96644.0,11165.0,2888.0,1628.0,553520.0,138.94,1.45,Bengali,16.23,Tier 2 City Customers,2025-05-26,Profit
132,TI-CMP-1132,Social Media,College Students,12.0,"Instagram, Email",92472.0,5757.0,1198.0,361.0,119130.0,289.53,0.14,Tamil,7.91,Working Women,2025-02-19,Profit
133,TI-CMP-1133,Paid Ads,College Students,27.0,"Email, Google, Instagram",80662.0,5020.0,2458.0,1739.0,883412.0,157.28,2.23,Tamil,11.43,Tier 2 City Customers,2025-02-19,Profit
135,TI-CMP-1135,Influencer,College Students,28.0,"WhatsApp, Email",21863.0,2610.0,1049.0,601.0,267445.0,319.15,0.39,Tamil,19.48,Working Women,2024-10-02,Profit
136,TI-CMP-1136,Influencer,Tier 2 City Customers,16.0,"Google, Instagram",51983.0,6471.0,1518.0,1213.0,359270.0,101.0,1.93,English,13.760886492146597,Tier 2 City Customers,2025-05-02,Profit
138,TI-CMP-1138,Social Media,Tier 2 City Customers,19.0,"Instagram, Facebook",37442.0,2845.0,839.0,413.0,323792.0,208.7,2.76,Bengali,10.94,Working Women,2024-10-17,Profit
139,TI-CMP-1139,Paid Ads,Premium Shoppers,14.0,"WhatsApp, Email",32727.0,1456.0,1477.0,347.0,71135.0,187.56,0.09,Hindi,7.32,Tier 2 City Customers,2024-08-01,Profit
140,TI-CMP-1140,Influencer,Premium Shoppers,9.0,Google,55441.0,5224.0,1807.0,1169.0,654640.0,83.39,5.72,Tamil,13.760886492146597,College Students,2024-08-01,Profit
141,TI-CMP-1141,Social Media,Working Women,15.0,"YouTube, WhatsApp, Email",77373.0,8977.0,3854.0,2474.0,1361049.625,33.59,8.335,Tamil,19.78,Tier 2 City Customers,2025-02-20,Profit
142,TI-CMP-1142,Social Media,Tier 2 City Customers,20.0,"Google, Email",33513.0,993.0,497.0,252.0,130284.0,454.85,0.14,English,5.2,Youth,2024-10-16,Profit
143,TI-CMP-1143,Email,Premium Shoppers,23.0,"Instagram, WhatsApp",47984.0,6514.0,2758.0,1990.0,533320.0,137.44,0.95,English,23.47,College Students,2024-08-08,Profit
144,TI-CMP-1144,Email,Youth,28.0,"Email, Facebook",61225.0,6348.0,1986.0,1175.0,623925.0,70.69,6.51,Hindi,13.760886492146597,Premium Shoppers,2024-12-03,Profit
145,TI-CMP-1145,Paid Ads,Youth,16.0,"Google, Facebook",50623.0,1198.0,521.0,406.0,157122.0,699.61,-0.45,English,4.2,Working Women,2025-01-11,Loss
146,TI-CMP-1146,Influencer,Premium Shoppers,26.0,WhatsApp,12133.0,528.0,228.0,88.0,52008.0,850.34375,-0.3,English,6.96,Premium Shoppers,2024-11-03,Loss
147,TI-CMP-1147,Paid Ads,Premium Shoppers,15.0,"Facebook, YouTube",58252.0,3172.0,1212.0,919.0,304189.0,151.67,1.18,Tamil,9.1,Premium Shoppers,2024-10-30,Profit
148,TI-CMP-1148,SEO,Premium Shoppers,9.0,Email,23627.0,1572.0,1477.0,506.0,254518.0,551.61,-0.09,Hindi,12.42,Tier 2 City Customers,2025-03-02,Loss
149,TI-CMP-1149,Email,Working Women,15.0,"YouTube, Instagram, WhatsApp",90732.0,9028.0,2527.0,1549.0,903067.0,193.48,2.01,English,14.44,Tier 2 City Customers,2024-10-01,Profit
150,TI-CMP-1150,SEO,Tier 2 City Customers,16.0,"Email, Instagram",80143.0,11688.0,3494.0,1542.0,510402.0,138.21,1.39,Hindi,20.87,Youth,2024-09-04,Profit
151,TI-CMP-1151,Email,Youth,23.0,WhatsApp,49811.0,6303.0,2237.0,780.0,234000.0,343.93,-0.13,English,18.71,Premium Shoppers,2025-05-22,Loss
152,TI-CMP-1152,SEO,Tier 2 City Customers,25.0,"Instagram, Facebook",21867.0,3087.0,1780.0,1035.0,374670.0,102.5,2.53,English,26.99,College Students,2025-05-05,Profit
153,TI-CMP-1153,Paid Ads,Youth,29.0,"WhatsApp, Email, Facebook",49301.0,4064.0,2135.0,1363.0,967730.0,201.08,2.53,Bengali,15.34,Premium Shoppers,2025-01-14,Profit
154,TI-CMP-1154,SEO,College Students,17.522264750789567,"Instagram, Email",77633.0,5444.0,1175.0,785.0,503970.0,349.23,0.84,Bengali,9.54,College Students,2025-05-27,Profit
155,TI-CMP-1155,Email,Youth,21.0,"Google, Facebook, Instagram",28017.0,1020.0,325.0,191.0,127779.0,850.34375,-0.21,Tamil,5.48,Working Women,2024-10-08,Loss
156,TI-CMP-1156,Email,Premium Shoppers,6.0,Google,98872.0,9816.0,5101.5,2322.0,1123848.0,93.69,4.17,Bengali,13.760886492146597,Premium Shoppers,2024-07-01,Profit
